ticker,volume,category
ECON,13329,Diversified Emerging Mkts
ECOW,9842,Diversified Emerging Mkts
ECOZ,1,Large Growth
EDC,40724,Trading--Leveraged Equity
EDEN,8843,Miscellaneous Region
EDIV,6474,Diversified Emerging Mkts
EDOC,14778,Health
EDOG,31,Diversified Emerging Mkts
EDOW,14373,Large Value
EDV,254054,Long Government
EDZ,105511,Trading--Inverse Equity
EELV,103791,Diversified Emerging Mkts
EEM,19429606,Diversified Emerging Mkts
EEMA,15538,Pacific/Asia ex-Japan Stk
EEMD,156,Diversified Emerging Mkts
EEMO,183,Diversified Emerging Mkts
EEMS,5765,Diversified Emerging Mkts
EEMV,334828,Diversified Emerging Mkts
EEMX,2071,Diversified Emerging Mkts
EES,13245,Small Value
EET,990,Trading--Leveraged Equity
EEV,1902,Trading--Inverse Equity
EFA,20157084,Foreign Large Blend
EFAD,6802,Foreign Large Growth
EFAS,3505,Foreign Large Value
EFAV,153027,Foreign Large Blend
EFAX,4827,Foreign Large Blend
EFG,1590776,Foreign Large Growth
EFIV,12918,Large Blend
EFIX,4912,Emerging Markets Bond
EFNL,103793,Miscellaneous Region
EFO,13824,Trading--Leveraged Equity
EFRA,550,Infrastructure
EFU,4425,Trading--Inverse Equity
EFV,999442,Foreign Large Value
EFZ,322050,Trading--Inverse Equity
EGIS,62,Large Blend
EGPT,148,Miscellaneous Region
EGUS,1,Large Growth
EIDO,312375,Miscellaneous Region
EINC,726,Energy Limited Partnership
EIPX,1161,Equity Energy
EIRL,22145,Miscellaneous Region
EIS,3311,Miscellaneous Region
EKG,49,Health
ELD,1921,Emerging-Markets Local-Currency Bond
ELQD,9,Corporate Bond
EMB,6368903,Emerging Markets Bond
EMBD,4153,Emerging Markets Bond
EMC,132428,Diversified Emerging Mkts
EMCA,200,Large Value
EMCB,17244,Emerging Markets Bond
EMCH,2,Diversified Emerging Mkts
EMCR,220,Diversified Emerging Mkts
EMDM,1,Diversified Emerging Mkts
EMDV,291,Diversified Emerging Mkts
EMFM,366,Diversified Emerging Mkts
EMFQ,107,Foreign Large Growth
EMGC,0,Large Growth
EMGD,2,Diversified Emerging Mkts
EMGF,112256,Diversified Emerging Mkts
EMHC,1977,Emerging Markets Bond
EMHY,20422,Emerging Markets Bond
EMIF,131,Diversified Emerging Mkts
EMLC,1191678,Emerging-Markets Local-Currency Bond
EMLP,297059,Energy Limited Partnership
EMM,304,Diversified Emerging Mkts
EMMF,5,Diversified Emerging Mkts
EMNT,10549,Ultrashort Bond
EMPW,0,Large Blend
EMQQ,54338,Diversified Emerging Mkts
EMSG,1,Diversified Emerging Mkts
EMTL,2981,Emerging Markets Bond
EMTY,10520,Trading--Inverse Equity
EMXC,637584,Diversified Emerging Mkts
EMXF,1373,Diversified Emerging Mkts
ENFR,7858,Energy Limited Partnership
ENOR,28347,Miscellaneous Region
ENRG,149,Miscellaneous Sector
ENTR,37,Large Growth
ENZL,17466,Miscellaneous Region
EPHE,40055,Miscellaneous Region
EPI,300712,India Equity
EPOL,164481,Miscellaneous Region
EPP,239245,Pacific/Asia ex-Japan Stk
EPRF,11297,Preferred Stock
EPS,8764,Large Blend
EPU,89878,Miscellaneous Region
EPV,253485,Trading--Inverse Equity
EQAL,22205,Mid-Cap Blend
EQL,11316,Large Blend
EQOP,0,Large Blend
EQRR,1117,Large Value
EQUL,2,Large Value
EQWL,82127,Large Value
ERET,5,Global Real Estate
ERM,2,Large Value
ERSX,1,Foreign Small/Mid Growth
ERTH,9551,Miscellaneous Sector
ERX,941612,Trading--Leveraged Equity
ERY,271852,Trading--Inverse Equity
ESCR,7,Corporate Bond
ESEB,938,Emerging Markets Bond
ESG,74,Large Blend
ESGA,2937,Large Blend
ESGD,262676,Foreign Large Blend
ESGE,437722,Diversified Emerging Mkts
ESGN,14,Foreign Large Value
ESGS,23,Large Value
ESGU,270783,Large Blend
ESGV,86858,Large Blend
ESGY,500,Large Growth
ESHY,175,High Yield Bond
ESIX,15303,Small Blend
ESML,45906,Small Blend
ESMV,1,Large Blend
ESPO,11038,Technology
ETEC,19,Technology
ETHO,2831,Mid-Cap Growth
EUDG,8548,Europe Stock
EUDV,3686,Europe Stock
EUFN,574684,Financial
EUM,33328,Trading--Inverse Equity
EUO,35982,Trading--Miscellaneous
EURL,34571,Trading--Leveraged Equity
EUSA,8525,Large Blend
EUSC,543,Europe Stock
EVAV,51396,Trading--Leveraged Equity
EVUS,300,Large Value
EVX,1114,Industrials
EWA,1174325,Miscellaneous Region
EWC,1497347,Miscellaneous Region
EWCO,7440,Communications
EWD,200924,Miscellaneous Region
EWEB,11,Diversified Emerging Mkts
EWG,3505981,Miscellaneous Region
EWGS,2017,Miscellaneous Region
EWH,2129152,China Region
EWI,478390,Miscellaneous Region
EWJ,6129681,Japan Stock
EWJV,96178,Japan Stock
EWK,45202,Miscellaneous Region
EWL,460258,Miscellaneous Region
EWM,149009,Miscellaneous Region
EWMC,3408,Small Blend
EWN,77469,Miscellaneous Region
EWO,6319,Miscellaneous Region
EWP,86338,Miscellaneous Region
EWQ,3056927,Miscellaneous Region
EWRE,3403,Real Estate
EWS,286371,Miscellaneous Region
EWT,1942494,China Region
EWU,4353777,Miscellaneous Region
EWUS,4230,Miscellaneous Region
EWV,11613,Trading--Inverse Equity
EWW,1227811,Miscellaneous Region
EWX,70748,Diversified Emerging Mkts
EWY,2223318,Miscellaneous Region
EWZ,21770968,Latin America Stock
EWZS,47773,Latin America Stock
EXI,799444,Industrials
EYLD,5421,Diversified Emerging Mkts
EZA,123733,Miscellaneous Region
EZJ,4587,Trading--Leveraged Equity
EZM,7564,Mid-Cap Value
EZU,7933372,Europe Stock
FAAR,7795,Commodities Broad Basket
FAB,49110,Mid-Cap Value
FAD,675,Mid-Cap Growth
FAIL,0,Trading--Inverse Equity
FALN,488950,High Yield Bond
FAN,54023,Miscellaneous Sector
FAS,796195,Trading--Leveraged Equity
FAZ,1293332,Trading--Inverse Equity
FBCG,103497,Large Growth
FBCV,33470,Large Value
FBL,10387,Trading--Leveraged Equity
FBT,17047,Health
FBZ,3864,Latin America Stock
FCA,1589,China Region
FCAL,40712,Muni California Long
FCEF,8440,World Allocation
FCG,132071,Equity Energy
FCLD,18926,Technology
FCOM,42293,Communications
FCOR,4315,Corporate Bond
FCPI,14168,Large Blend
FCSH,1,Short-Term Bond
FCTR,109967,Large Blend
FCUS,0,Large Blend
FCVT,10596,Convertibles
FDAT,8900,Allocation--50% to 70% Equity
FDD,42777,Europe Stock
FDEM,3231,Diversified Emerging Mkts
FDEV,3445,Foreign Large Blend
FDG,15706,Large Growth
FDHT,1851,Health
FDHY,12528,High Yield Bond
FDIS,53655,Consumer Cyclical
FDL,1179656,Large Value
FDLO,12959,Large Blend
FDLS,2899,Large Blend
FDM,4791,Small Value
FDMO,251934,Large Growth
FDN,196493,Technology
FDNI,1112,Diversified Emerging Mkts
FDRR,19682,Large Value
FDRV,9667,Industrials
FDT,106042,Foreign Large Blend
FDTS,13,Foreign Small/Mid Value
FDV,11912,Large Value
FDVV,77732,Large Value
FDWM,544,Large Blend
FEDM,105,Foreign Large Blend
FEEM,105,Diversified Emerging Mkts
FEHY,50,High Yield Bond
FEIG,615,Corporate Bond
FEM,41703,Diversified Emerging Mkts
FEMB,28194,Emerging-Markets Local-Currency Bond
FEMS,135711,Diversified Emerging Mkts
FENY,565253,Equity Energy
FEP,9121,Europe Stock
FEUS,219,Large Blend
FEUZ,342,Europe Stock
FEX,9741,Large Blend
FEZ,1993161,Europe Stock
FFHG,3678,Long-Short Equity
FFIU,335,Corporate Bond
FFND,1188,Large Growth
FFSG,620,Allocation--85%+ Equity
FFTG,783,Tactical Allocation
FFTI,3462,Multisector Bond
FFTY,81345,Mid-Cap Growth
FGD,234434,Foreign Large Value
FGM,109,Miscellaneous Region
FGRO,16133,Large Growth
FHLC,197779,Health
FHYS,18,High Yield Bond
FIAX,4364,Nontraditional Bond
FICS,3197,Foreign Large Growth
FID,10270,Foreign Large Value
FIDI,17443,Foreign Large Value
FIDU,43836,Industrials
FIG,620,Allocation--50% to 70% Equity
FIGB,1511,Intermediate-Term Bond
FILL,4636,Equity Energy
FINX,26472,Technology
FITE,391,Technology
FIVA,11069,Foreign Large Value
FIVG,28463,Communications
FIVR,32,Allocation--15% to 30% Equity
FIW,18190,Natural Resources
FJP,4377,Japan Stock
FKU,249,Miscellaneous Region
FLAU,1866,Miscellaneous Region
FLAX,6566,Pacific/Asia ex-Japan Stk
FLBL,25713,Bank Loan
FLBR,9530,Latin America Stock
FLCA,12316,Miscellaneous Region
FLCB,84001,Intermediate-Term Bond
FLCH,16663,China Region
FLCO,12400,Corporate Bond
FLDR,17282,Ultrashort Bond
FLDZ,0,Mid-Cap Blend
FLEE,9801,Europe Stock
FLEH,694,Europe Stock
FLFR,162,Miscellaneous Region
FLGB,191711,Miscellaneous Region
FLGR,511,Miscellaneous Region
FLGV,16930,Intermediate Government
FLHK,365,China Region
FLHY,8734,High Yield Bond
FLIA,20438,World Bond
FLIN,5016,India Equity
FLIY,140,Miscellaneous Region
FLJH,4076,Japan Stock
FLJP,1006337,Japan Stock
FLKR,2626,Miscellaneous Region
FLLA,2582,Latin America Stock
FLLV,9130,Large Blend
FLMB,52,Muni National Long
FLMI,6967,High Yield Muni
FLMX,1731,Miscellaneous Region
FLN,1793,Latin America Stock
FLOT,1291851,Ultrashort Bond
FLQL,20580,Large Blend
FLQM,8752,Mid-Cap Blend
FLQS,1258,Small Blend
FLRG,2812,Large Blend
FLRN,330615,Ultrashort Bond
FLRT,4570,Bank Loan
FLSA,38,Miscellaneous Region
FLSW,3641,Miscellaneous Region
FLTB,4594,Short-Term Bond
FLTN,665,Inflation-Protected Bond
FLTR,125334,Ultrashort Bond
FLTW,8293,China Region
FLUD,5,Ultrashort Bond
FLV,3315,Large Value
FLZA,15,Miscellaneous Region
FM,212382,Diversified Emerging Mkts
FMAG,14201,Large Growth
FMAT,26097,Natural Resources
FMB,120280,Muni National Interm
FMCX,3,Large Blend
FMET,1289,Technology
FMF,5404,Managed Futures
FMHI,28595,High Yield Muni
FMIL,3389,Large Value
FMNY,144,Muni New York Long
FMQQ,1107,Diversified Emerging Mkts
FNCL,74139,Financial
FNDA,171781,Small Blend
FNDB,12396,Large Value
FNDC,145347,Foreign Small/Mid Value
FNDE,400012,Diversified Emerging Mkts
FNDF,656967,Foreign Large Value
FNDX,245810,Large Value
FNGG,17678,Trading--Leveraged Equity
FNK,55815,Mid-Cap Value
FNX,24464,Mid-Cap Blend
FNY,25639,Mid-Cap Growth
FORH,1,Mid-Cap Blend
FOVL,571,Mid-Cap Value
FPA,157,Pacific/Asia ex-Japan Stk
FPE,1030344,Preferred Stock
FPEI,159528,Preferred Stock
FPFD,406,Preferred Stock
FPRO,692,Real Estate
FPX,16287,Large Growth
FPXE,101,Europe Stock
FPXI,7728,Foreign Large Growth
FQAL,134888,Large Blend
FRDM,70160,Diversified Emerging Mkts
FREL,150509,Real Estate
FRI,33583,Real Estate
FRNW,6968,Miscellaneous Sector
FRTY,1518,Mid-Cap Growth
FSEC,108,Intermediate-Term Bond
FSIG,173617,Short-Term Bond
FSLD,2,Ultrashort Bond
FSMB,308998,Muni National Short
FSMD,9095,Small Blend
FSMO,949,Mid-Cap Blend
FSST,193,Large Blend
FSTA,63124,Consumer Defensive
FSYD,329,High Yield Bond
FSZ,4016,Miscellaneous Region
FTA,133721,Large Value
FTAG,4666,Natural Resources
FTBD,921,Multisector Bond
FTC,18069,Large Growth
FTCS,230447,Large Blend
FTDS,1324,Mid-Cap Blend
FTEC,286259,Technology
FTGC,1300067,Commodities Broad Basket
FTGS,200,Large Growth
FTIF,105,Large Blend
